File	Time	Song	Artist	Release	YouTube	Spotify	Unearthed
requestival_27	11:06pm	Snakeskin	Rina Sawayama	Rina Sawayama 	https://www.youtube.com/results?search_query=Rina%20Sawayama%20Snakeskin	https://play.spotify.com/search/results/artist:Rina%20Sawayama%20track:Snakeskin	NA
requestival_27	11:09pm	Do-Do's And Whoa-oh's	Kisschasy	Do-Do's and Whoa-oh's 	https://www.youtube.com/results?search_query=Kisschasy%20Do-Do%27s%20And%20Whoa-oh%27s	https://play.spotify.com/search/results/artist:Kisschasy%20track:Do-Do's%20And%20Whoa-oh's	NA
requestival_27	11:15pm	C.R.E.A.M.	Wu-Tang Clan	Enter the Wu-Tang (36 Chambers) 	https://www.youtube.com/results?search_query=Wu-Tang%20Clan%20C.R.E.A.M.	https://play.spotify.com/search/results/artist:Wu-Tang%20Clan%20track:C.R.E.A.M.	NA
requestival_27	11:19pm	Hurricane	Faker	Addicted Romantic 	https://www.youtube.com/results?search_query=Faker%20Hurricane	https://play.spotify.com/search/results/artist:Faker%20track:Hurricane	NA
requestival_27	11:24pm	Rasputin	Boney M	Night Flight To Venus 	https://www.youtube.com/results?search_query=Boney%20M%20Rasputin	https://play.spotify.com/search/results/artist:Boney%20M%20track:Rasputin	NA
requestival_27	11:28pm	I'm Not Getting Excited	The Beths	Jump Rope Gazers 	https://www.youtube.com/results?search_query=The%20Beths%20I%27m%20Not%20Getting%20Excited	https://play.spotify.com/search/results/artist:The%20Beths%20track:I'm%20Not%20Getting%20Excited	https://www.triplejunearthed.com/node/5613986
requestival_27	11:37pm	Kathleen	Catfish And The Bottlemen	The Balcony 	https://www.youtube.com/results?search_query=Catfish%20And%20The%20Bottlemen%20Kathleen	https://play.spotify.com/search/results/artist:Catfish%20And%20The%20Bottlemen%20track:Kathleen	NA
requestival_27	11:40pm	Jona Vark	Gypsy & The Cat	Jona Vark 	https://www.youtube.com/results?search_query=Gypsy%20&%20The%20Cat%20Jona%20Vark	https://play.spotify.com/search/results/artist:Gypsy%20&%20The%20Cat%20track:Jona%20Vark	https://www.triplejunearthed.com/node/90686
requestival_27	11:45pm	Mood	JessB	New Views 	https://www.youtube.com/results?search_query=JessB%20Mood	https://play.spotify.com/search/results/artist:JessB%20track:Mood	NA
requestival_27	11:49pm	Rock Your Body	Justin Timberlake	Justified 	https://www.youtube.com/results?search_query=Justin%20Timberlake%20Rock%20Your%20Body	https://play.spotify.com/search/results/artist:Justin%20Timberlake%20track:Rock%20Your%20Body	NA
requestival_27	11:55pm	Boy With The Winfields And The Wild Heart	flowerkid	Boy With The Winfields And The Wild Heart 	https://www.youtube.com/results?search_query=flowerkid%20Boy%20With%20The%20Winfields%20And%20The%20Wild%20Heart	https://play.spotify.com/search/results/artist:flowerkid%20track:Boy%20With%20The%20Winfields%20And%20The%20Wild%20Heart	https://www.triplejunearthed.com/node/7456976
requestival_28	12:05am	Gay Pirates	Cosmo Jarvis	Is The World Strange Or Am I Strange? 	https://www.youtube.com/results?search_query=Cosmo%20Jarvis%20Gay%20Pirates	https://play.spotify.com/search/results/artist:Cosmo%20Jarvis%20track:Gay%20Pirates	NA
